inventoryId,source,tag,label,command,tooltip,initialWebStatus,hostApiNeeded,webTarget,notes
"xaml:App.xaml:250:119","App.xaml:250","ToggleButton","","","","not-yet-reviewed","","",""
"xaml:LogWindow.xaml:45:8","LogWindow.xaml:45","Button","Clear","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:442:204","MainWindow.xaml:442","Button","{Binding NavigationRailToggleGlyph}","{Binding ToggleNavigationRailCommand}","{Binding NavigationRailToggleLabel}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:455:205","MainWindow.xaml:455","Button","&#xE3C9; | New Message","","New message","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:508:222","MainWindow.xaml:508","RadioButton","&#xE0CA; | Phone","","Phone: messages and calls","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:525:226","MainWindow.xaml:525","Button","&#xE0B0; | Make Call","","Make a call","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:544:230","MainWindow.xaml:544","RadioButton","&#xE0B0; | Calls","","Calls","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:562:234","MainWindow.xaml:562","RadioButton","&#xE7FD; | Contacts","","Contacts","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:586:239","MainWindow.xaml:586","RadioButton","&#xE8B8; | Settings","","Settings","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:603:243","MainWindow.xaml:603","RadioButton","&#xE869; | Developer Tools","","Developer Tools","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:620:247","MainWindow.xaml:620","Button","&#xEB8E; | Live Log","","Open or focus the live log window","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:665:263","MainWindow.xaml:665","Button","&#xE627;","{Binding ConnectQuickDeviceCommand}","Clean reconnect to saved device","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:692:267","MainWindow.xaml:692","Button","{Binding QuickConnectSidebarLabel}","{Binding ConnectQuickDeviceCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:701:268","MainWindow.xaml:701","Button","Connection Settings","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:737:277","MainWindow.xaml:737","Button","&#xE627;","{Binding ConnectQuickDeviceCommand}","{Binding QuickConnectSidebarLabel}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:745:278","MainWindow.xaml:745","Button","&#xE8B8;","","Connection settings","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:808:287","MainWindow.xaml:808","Button","Connect","{Binding ReconnectCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:812:288","MainWindow.xaml:812","Button","Choose device","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:816:289","MainWindow.xaml:816","Button","&#xE5CD;","{Binding DismissReconnectCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:843:295","MainWindow.xaml:843","Button","Yes","{Binding ImportPendingContactsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:847:296","MainWindow.xaml:847","Button","No","{Binding SkipPendingContactsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:882:304","MainWindow.xaml:882","Button","Use New Build","{Binding AcceptBuildUpdateCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:887:305","MainWindow.xaml:887","Button","Not Yet","{Binding SnoozeBuildUpdateCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:904:307","MainWindow.xaml:904","Button","&#xE7F4; | New Build Available","{Binding ShowBuildUpdatePromptCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:973:327","MainWindow.xaml:973","Button","","{Binding MuteMicCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:993:335","MainWindow.xaml:993","Button","Accept","{Binding AnswerCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1006:339","MainWindow.xaml:1006","Button","","{Binding HangUpCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1078:356","MainWindow.xaml:1078","Button","&#xE145;","","New message","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1083:357","MainWindow.xaml:1083","Button","&#xE164;","{Binding ToggleConversationSortCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1098:362","MainWindow.xaml:1098","Button","&#xE5CD;","{Binding CloseMessagesListPaneCommand}","Hide threads","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1138:370","MainWindow.xaml:1138","Button","All","{Binding SetConversationFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1159:378","MainWindow.xaml:1159","Button","Unread","{Binding SetConversationFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1180:386","MainWindow.xaml:1180","Button","Pinned","{Binding SetConversationFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1201:394","MainWindow.xaml:1201","Button","Muted","{Binding SetConversationFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1222:402","MainWindow.xaml:1222","Button","Blocked","{Binding SetConversationFilterCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1299:429","MainWindow.xaml:1299","MenuItem","Mark read","{Binding DataContext.MarkConversationReadCommand, RelativeSource={RelativeSource AncestorType=ListBox}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1302:430","MainWindow.xaml:1302","MenuItem","Mark unread","{Binding DataContext.MarkConversationUnreadCommand, RelativeSource={RelativeSource AncestorType=ListBox}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1306:432","MainWindow.xaml:1306","MenuItem","Pin / unpin","{Binding DataContext.ToggleConversationPinnedCommand, RelativeSource={RelativeSource AncestorType=ListBox}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1309:433","MainWindow.xaml:1309","MenuItem","Mute / unmute alerts","{Binding DataContext.ToggleConversationAlertsMutedCommand, RelativeSource={RelativeSource AncestorType=ListBox}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1312:434","MainWindow.xaml:1312","MenuItem","Block / unblock locally","{Binding DataContext.ToggleConversationBlockedCommand, RelativeSource={RelativeSource AncestorType=ListBox}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1523:479","MainWindow.xaml:1523","Button","&#xE316;","{Binding ConversationSearchPreviousCommand}","Previous match","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1527:480","MainWindow.xaml:1527","Button","&#xE313;","{Binding ConversationSearchNextCommand}","Next match","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1531:481","MainWindow.xaml:1531","Button","&#xE5CD;","{Binding ClearConversationSearchCommand}","Clear search","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1568:488","MainWindow.xaml:1568","Button","&#xE14B;","{Binding ToggleConversationBlockedCommand}","{Binding SelectedConversationBlockTooltip}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1572:489","MainWindow.xaml:1572","Button","&#xF10D;","{Binding ToggleConversationPinnedCommand}","{Binding SelectedConversationPinTooltip}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1576:490","MainWindow.xaml:1576","Button","&#xE7F6;","{Binding ToggleConversationAlertsMutedCommand}","{Binding SelectedConversationAlertsTooltip}","not-yet-reviewed","","",""
